experiment,sampler,setting,seed,h,gamma,n_samples,burn,post_burn_samples,dimension,acceptance_rate,min_ess,mean_error,cov_error,grad_evals,logprob_evals,work_units,ess_per_work,rho
gaussian_sweep,ULA,gaussian,0,0.005,,12000,2000,10000,2,,24.269253540488837,0.42184045509058915,0.42093145860536174,12000,0,12000,0.0020224377950407366,0.9
gaussian_sweep,MALA,gaussian,0,0.005,,12000,2000,10000,2,0.99675,24.524329515152672,0.6376520551365388,0.2031652051106384,12001,12001,24002,0.0010217619163050025,0.9
gaussian_sweep,KLMC,gaussian,0,0.005,2.0,12000,2000,10000,2,,13.74566444295237,0.06168396130813023,0.2370620780466518,12000,0,12000,0.0011454720369126975,0.9
gaussian_sweep,ULA,gaussian,0,0.01,,12000,2000,10000,2,,34.58739416189534,0.3029245330098218,0.21816155681577648,12000,0,12000,0.0028822828468246116,0.9
gaussian_sweep,MALA,gaussian,0,0.01,,12000,2000,10000,2,0.99225,35.818029064864994,0.46596069805781565,0.05362861252962007,12001,12001,24002,0.0014922935199093823,0.9
gaussian_sweep,KLMC,gaussian,0,0.01,2.0,12000,2000,10000,2,,22.781296966542126,0.03780507477828541,0.28346606637719685,12000,0,12000,0.0018984414138785105,0.9
gaussian_sweep,ULA,gaussian,0,0.02,,12000,2000,10000,2,,58.4200787147411,0.20881930894512837,0.1560779730739909,12000,0,12000,0.004868339892895092,0.9
gaussian_sweep,MALA,gaussian,0,0.02,,12000,2000,10000,2,0.98,53.92144454360703,0.34952640764209775,0.07303125453802958,12001,12001,24002,0.0022465396443465974,0.9
gaussian_sweep,KLMC,gaussian,0,0.02,2.0,12000,2000,10000,2,,32.39745528782084,0.03154972400810577,0.5434911375642024,12000,0,12000,0.0026997879406517366,0.9
gaussian_sweep,ULA,gaussian,0,0.05,,12000,2000,10000,2,,183.2733207286006,0.1257925004875196,0.04740709470293522,12000,0,12000,0.015272776727383383,0.9
gaussian_sweep,MALA,gaussian,0,0.05,,12000,2000,10000,2,0.91825,97.697720114984,0.20770625934652787,0.06912602915950507,12001,12001,24002,0.00407039913819615,0.9
gaussian_sweep,KLMC,gaussian,0,0.05,2.0,12000,2000,10000,2,,58.87894165985837,0.023498800172982195,0.45469965097657117,12000,0,12000,0.0049065784716548645,0.9
gaussian_sweep,ULA,gaussian,0,0.1,,12000,2000,10000,2,,340.71884160952874,0.08688715269254163,0.12518659056931866,12000,0,12000,0.028393236800794062,0.9
gaussian_sweep,MALA,gaussian,0,0.1,,12000,2000,10000,2,0.78025,137.84375142987878,0.197673887208632,0.07764366947778102,12001,12001,24002,0.005743011058656728,0.9
gaussian_sweep,KLMC,gaussian,0,0.1,2.0,12000,2000,10000,2,,108.23997331061169,0.013731269219338517,0.34825498425245455,12000,0,12000,0.009019997775884307,0.9
gaussian_sweep,ULA,gaussian,0,0.15,,12000,2000,10000,2,,523.3270307966745,0.07064303863232813,0.3168074762316511,12000,0,12000,0.04361058589972288,0.9
gaussian_sweep,MALA,gaussian,0,0.15,,12000,2000,10000,2,0.6268333333333334,244.77601450602947,0.16060667938178536,0.08139705062968706,12001,12001,24002,0.010198150758521351,0.9
gaussian_sweep,KLMC,gaussian,0,0.15,2.0,12000,2000,10000,2,,157.8136655895681,0.009216657360127552,0.29826417828385327,12000,0,12000,0.013151138799130675,0.9
gaussian_sweep,ULA,gaussian,0,0.18,,12000,2000,10000,2,,763.3290490061325,0.06445866530389854,0.8994372083910803,12000,0,12000,0.06361075408384438,0.9
gaussian_sweep,MALA,gaussian,0,0.18,,12000,2000,10000,2,0.5455,171.27749662432808,0.2176242074684933,0.08097758680586244,12001,12001,24002,0.007135967695372389,0.9
gaussian_sweep,KLMC,gaussian,0,0.18,2.0,12000,2000,10000,2,,187.64703806179648,0.007669699435107388,0.2780096451927781,12000,0,12000,0.015637253171816374,0.9
