experiment,sampler,setting,seed,h,gamma,n_samples,burn,post_burn_samples,dimension,acceptance_rate,min_ess,mean_error,cov_error,grad_evals,logprob_evals,work_units,ess_per_work,target_n,sigma,tau
linear_regression,ULA,linear,300,0.0005,,12000,2000,10000,5,,442.77663676879246,0.005146800237044092,0.0008830548110544121,12000,0,12000,0.03689805306406604,200,1.0,10.0
linear_regression,MALA,linear,300,0.0005,,12000,2000,10000,5,0.98,374.95734236560463,0.006707120041814028,0.000764563936371939,12001,12001,24002,0.015621920771835874,200,1.0,10.0
linear_regression,KLMC,linear,300,0.0005,2.0,12000,2000,10000,5,,31.29915565714293,0.016353282103273907,0.020459166860035398,12000,0,12000,0.0026082629714285774,200,1.0,10.0
linear_regression,ULA,linear,300,0.001,,12000,2000,10000,5,,938.0160067865634,0.003611462004172266,0.001238541590004722,12000,0,12000,0.07816800056554694,200,1.0,10.0
linear_regression,MALA,linear,300,0.001,,12000,2000,10000,5,0.9468333333333333,878.348921130509,0.00405248677199049,0.000581930822064538,12001,12001,24002,0.0365948221452591,200,1.0,10.0
linear_regression,KLMC,linear,300,0.001,2.0,12000,2000,10000,5,,62.002616134575334,0.007902514917744007,0.007080375298713503,12000,0,12000,0.005166884677881278,200,1.0,10.0
linear_regression,ULA,linear,300,0.002,,12000,2000,10000,5,,2059.258150089813,0.002531333475108782,0.0026759585564965147,12000,0,12000,0.17160484584081775,200,1.0,10.0
linear_regression,MALA,linear,300,0.002,,12000,2000,10000,5,0.8513333333333334,1771.8622966016192,0.004009925623925026,0.00040368943429207994,12001,12001,24002,0.07382144390474207,200,1.0,10.0
linear_regression,KLMC,linear,300,0.002,2.0,12000,2000,10000,5,,123.31212674216384,0.003855352645915706,0.005765804413558211,12000,0,12000,0.010276010561846986,200,1.0,10.0
linear_regression,ULA,linear,300,0.003,,12000,2000,10000,5,,3284.2012522334176,0.0020585424799964658,0.004634039720984906,12000,0,12000,0.27368343768611814,200,1.0,10.0
linear_regression,MALA,linear,300,0.003,,12000,2000,10000,5,0.731,2650.478204532318,0.0026081036497977842,0.0003210583706685678,12001,12001,24002,0.11042738957304883,200,1.0,10.0
linear_regression,KLMC,linear,300,0.003,2.0,12000,2000,10000,5,,185.28052566504783,0.00453754570279722,0.0050365344098573924,12000,0,12000,0.015440043805420653,200,1.0,10.0
linear_regression,ULA,linear,300,0.005,,12000,2000,10000,5,,6957.388921151303,0.0015881169766448669,0.011123243400921575,12000,0,12000,0.5797824100959419,200,1.0,10.0
linear_regression,MALA,linear,300,0.005,,12000,2000,10000,5,0.46608333333333335,2561.73178261056,0.0031160118735896855,0.00046239275502782114,12001,12001,24002,0.10672993011459711,200,1.0,10.0
linear_regression,KLMC,linear,300,0.005,2.0,12000,2000,10000,5,,309.17419734467563,0.003223788092595054,0.004289699354128124,12000,0,12000,0.025764516445389636,200,1.0,10.0
linear_regression,ULA,linear,300,0.007,,12000,2000,10000,5,,10000.0,0.0013360984617359776,0.03209810294729818,12000,0,12000,0.8333333333333334,200,1.0,10.0
linear_regression,MALA,linear,300,0.007,,12000,2000,10000,5,0.26616666666666666,1445.8705254089427,0.0039077929492714845,0.0009521861898631805,12001,12001,24002,0.06023958525993429,200,1.0,10.0
linear_regression,KLMC,linear,300,0.007,2.0,12000,2000,10000,5,,430.48397506232413,0.002763121797096316,0.006754304073510453,12000,0,12000,0.03587366458852701,200,1.0,10.0
