experiment,sampler,setting,seed,h,gamma,n_samples,burn,post_burn_samples,dimension,acceptance_rate,min_ess,mean_error,cov_error,grad_evals,logprob_evals,work_units,ess_per_work,target_n,tau,reference_seed,reference_h
logistic_regression,ULA,logistic,700,0.001,,30000,5000,25000,5,,154.03392324947205,0.013873842696464756,0.004212290068230023,30000,0,30000,0.005134464108315735,400,10.0,123,0.004
logistic_regression,MALA,logistic,700,0.001,,30000,5000,25000,5,0.9943666666666666,170.58728265716923,0.013485940877286162,0.008071511891203855,30001,30001,60002,0.0028430266100658184,400,10.0,123,0.004
logistic_regression,KLMC,logistic,700,0.001,2.0,30000,5000,25000,5,,46.51511258724528,0.05866907948857566,0.017905811982385982,30000,0,30000,0.0015505037529081759,400,10.0,123,0.004
logistic_regression,ULA,logistic,700,0.002,,30000,5000,25000,5,,323.298262757744,0.009200837358116653,0.003616489517395033,30000,0,30000,0.010776608758591467,400,10.0,123,0.004
logistic_regression,MALA,logistic,700,0.002,,30000,5000,25000,5,0.9853666666666666,297.704954093006,0.00900589540190698,0.005013832482040478,30001,30001,60002,0.004961583848755141,400,10.0,123,0.004
logistic_regression,KLMC,logistic,700,0.002,2.0,30000,5000,25000,5,,100.18371475463809,0.040784752902768714,0.021593901227308802,30000,0,30000,0.0033394571584879364,400,10.0,123,0.004
logistic_regression,ULA,logistic,700,0.004,,30000,5000,25000,5,,620.2803984344613,0.008394880276715132,0.00486250766877165,30000,0,30000,0.02067601328114871,400,10.0,123,0.004
logistic_regression,MALA,logistic,700,0.004,,30000,5000,25000,5,0.9590333333333333,580.4672570324599,0.0062099849738509625,0.0039051203016641427,30001,30001,60002,0.009674131812813904,400,10.0,123,0.004
logistic_regression,KLMC,logistic,700,0.004,2.0,30000,5000,25000,5,,188.9349439015675,0.032144953199633,0.01929105744190291,30000,0,30000,0.006297831463385583,400,10.0,123,0.004
logistic_regression,ULA,logistic,700,0.006,,30000,5000,25000,5,,924.2091395299232,0.010471115403744444,0.007182592769420136,30000,0,30000,0.030806971317664106,400,10.0,123,0.004
logistic_regression,MALA,logistic,700,0.006,,30000,5000,25000,5,0.9225,897.2974714070691,0.004889792849560751,0.003448773770514488,30001,30001,60002,0.014954459374805325,400,10.0,123,0.004
logistic_regression,KLMC,logistic,700,0.006,2.0,30000,5000,25000,5,,287.3533770905548,0.019068839054132734,0.014913169551325352,30000,0,30000,0.009578445903018493,400,10.0,123,0.004
logistic_regression,ULA,logistic,700,0.008,,30000,5000,25000,5,,1245.9749418109195,0.013448464839143564,0.010050467959078282,30000,0,30000,0.041532498060363986,400,10.0,123,0.004
logistic_regression,MALA,logistic,700,0.008,,30000,5000,25000,5,0.8804,1158.6468034188426,0.0025347941728841215,0.003589943651396086,30001,30001,60002,0.01931013638576785,400,10.0,123,0.004
logistic_regression,KLMC,logistic,700,0.008,2.0,30000,5000,25000,5,,392.747450843321,0.01631917516428526,0.015171299787289056,30000,0,30000,0.013091581694777367,400,10.0,123,0.004
logistic_regression,ULA,logistic,700,0.01,,30000,5000,25000,5,,1586.0035796985794,0.016938917373317007,0.01337064317504694,30000,0,30000,0.05286678598995265,400,10.0,123,0.004
logistic_regression,MALA,logistic,700,0.01,,30000,5000,25000,5,0.8351333333333333,1471.2037032129372,0.0037202707976105886,0.002296104430859374,30001,30001,60002,0.024519244412068552,400,10.0,123,0.004
logistic_regression,KLMC,logistic,700,0.01,2.0,30000,5000,25000,5,,484.9007729011099,0.013106807873389092,0.012267947130763877,30000,0,30000,0.016163359096703665,400,10.0,123,0.004
logistic_regression,ULA,logistic,700,0.015,,30000,5000,25000,5,,2637.1847125873182,0.02773655457800691,0.02380672516373441,30000,0,30000,0.08790615708624394,400,10.0,123,0.004
logistic_regression,MALA,logistic,700,0.015,,30000,5000,25000,5,0.7033666666666667,1846.452626144769,0.0018903215204908565,0.0019208927226907104,30001,30001,60002,0.030773184662924054,400,10.0,123,0.004
logistic_regression,KLMC,logistic,700,0.015,2.0,30000,5000,25000,5,,728.2755729988444,0.0030146173185196623,0.009168390672050174,30000,0,30000,0.024275852433294814,400,10.0,123,0.004
logistic_regression,ULA,logistic,700,0.02,,30000,5000,25000,5,,3781.2621729026137,0.042505906871014285,0.03846613347221738,30000,0,30000,0.1260420724300871,400,10.0,123,0.004
logistic_regression,MALA,logistic,700,0.02,,30000,5000,25000,5,0.5613333333333334,2162.0640073574104,0.0027156497214414644,0.002213332853456858,30001,30001,60002,0.03603319901598964,400,10.0,123,0.004
logistic_regression,KLMC,logistic,700,0.02,2.0,30000,5000,25000,5,,1002.1678723924172,0.003345607805604817,0.011238281028964679,30000,0,30000,0.033405595746413906,400,10.0,123,0.004
