experiment,sampler,setting,tolerance,h,dimension,tolerance_metric,budget,grad_evals,mean_error,cov_error
precision_scaling,ULA,tol=0.35,0.35,0.05121069578288224,10,cov_error,,,,
precision_scaling,ULA,tol=0.25,0.25,0.05121069578288224,10,cov_error,,,,
precision_scaling,ULA,tol=0.18,0.18,0.05121069578288224,10,cov_error,,,,
precision_scaling,ULA,tol=0.125,0.125,0.05121069578288224,10,cov_error,,,,
precision_scaling,MALA,tol=0.35,0.35,0.08535115963813707,10,cov_error,24000.0,24001.0,0.09512518972614624,0.3423681233363818
precision_scaling,MALA,tol=0.25,0.25,0.08535115963813707,10,cov_error,,,,
precision_scaling,MALA,tol=0.18,0.18,0.08535115963813707,10,cov_error,,,,
precision_scaling,MALA,tol=0.125,0.125,0.08535115963813707,10,cov_error,,,,
precision_scaling,KLMC,tol=0.35,0.35,0.06828092771050964,10,cov_error,,,,
precision_scaling,KLMC,tol=0.25,0.25,0.06828092771050964,10,cov_error,,,,
precision_scaling,KLMC,tol=0.18,0.18,0.06828092771050964,10,cov_error,,,,
precision_scaling,KLMC,tol=0.125,0.125,0.06828092771050964,10,cov_error,,,,
