experiment,sampler,setting,seed,h,gamma,n_samples,burn,post_burn_samples,dimension,acceptance_rate,min_ess,mean_error,cov_error,grad_evals,logprob_evals,work_units,ess_per_work,budget,rho,lipschitz,step_scale
precision_scaling,ULA,N=3000,3503,0.05121069578288224,,3000,600,2400,10,,11.983979349787925,0.6264815638805977,0.9750871215423398,3000,0,3000,0.003994659783262642,3000,0.8,8.787226830657858,0.45
precision_scaling,ULA,N=6000,6503,0.05121069578288224,,6000,1200,4800,10,,29.434923828473927,0.5600964818610654,0.6566062223912824,6000,0,6000,0.004905820638078988,6000,0.8,8.787226830657858,0.45
precision_scaling,ULA,N=12000,12503,0.05121069578288224,,12000,2400,9600,10,,77.12652409352837,0.3705563360164599,0.7662061487713289,12000,0,12000,0.006427210341127364,12000,0.8,8.787226830657858,0.45
precision_scaling,ULA,N=24000,24503,0.05121069578288224,,24000,4800,19200,10,,77.32052806443633,0.26084952238536874,0.6090870264632083,24000,0,24000,0.0032216886693515138,24000,0.8,8.787226830657858,0.45
precision_scaling,MALA,N=3000,3504,0.08535115963813707,,3000,600,2400,10,0.7253333333333334,12.436498960167086,0.5560959281180761,6.431036672787562,3001,3001,6002,0.0020720591403144096,3000,0.8,8.787226830657858,0.75
precision_scaling,MALA,N=6000,6504,0.08535115963813707,,6000,1200,4800,10,0.7213333333333334,47.44093472335557,0.21579714793959462,1.4098008389109753,6001,6001,12002,0.003952752434873819,6000,0.8,8.787226830657858,0.75
precision_scaling,MALA,N=12000,12504,0.08535115963813707,,12000,2400,9600,10,0.7053333333333334,94.94172603454189,0.3920124573579119,1.023628356329654,12001,12001,24002,0.003955575620137567,12000,0.8,8.787226830657858,0.75
precision_scaling,MALA,N=24000,24504,0.08535115963813707,,24000,4800,19200,10,0.720625,114.09489695817007,0.09512518972614624,0.3423681233363818,24001,24001,48002,0.0023768779833792356,24000,0.8,8.787226830657858,0.75
precision_scaling,KLMC,N=3000,3504,0.06828092771050964,2.0,3000,600,2400,10,,20.204247810984835,0.664912203089687,1.1772253657598954,3000,0,3000,0.006734749270328279,3000,0.8,8.787226830657858,0.6
precision_scaling,KLMC,N=6000,6504,0.06828092771050964,2.0,6000,1200,4800,10,,13.117211551518857,0.313041062456028,0.8989497577729485,6000,0,6000,0.002186201925253143,6000,0.8,8.787226830657858,0.6
precision_scaling,KLMC,N=12000,12504,0.06828092771050964,2.0,12000,2400,9600,10,,35.01042946404482,0.3530043706186951,0.7659110451113949,12000,0,12000,0.0029175357886704017,12000,0.8,8.787226830657858,0.6
precision_scaling,KLMC,N=24000,24504,0.06828092771050964,2.0,24000,4800,19200,10,,72.95692542673487,0.06774580756329683,0.5345476326860175,24000,0,24000,0.0030398718927806194,24000,0.8,8.787226830657858,0.6
